Kernel,"wngk, wssk",k,lambda,Class,F1-Score,Precision,Recall
SSK NGK comb,"(0, 1)",5,0.5,2,0.7777777777777777,0.875,0.7
SSK NGK comb,"(0.5, 0.5)",5,0.5,0,0.8571428571428572,0.8181818181818182,0.9
SSK NGK comb,"(0.5, 0.5)",5,0.5,1,0.761904761904762,0.7272727272727273,0.8
SSK NGK comb,"(0.5, 0.5)",5,0.5,2,0.7777777777777777,0.875,0.7
SSK NGK comb,"(0.6, 0.4)",5,0.5,0,0.8571428571428572,0.8181818181818182,0.9
SSK NGK comb,"(0.6, 0.4)",5,0.5,1,0.761904761904762,0.7272727272727273,0.8
SSK NGK comb,"(0.6, 0.4)",5,0.5,2,0.7777777777777777,0.875,0.7
SSK NGK comb,"(0.7, 0.3)",5,0.5,0,0.8571428571428572,0.8181818181818182,0.9
SSK NGK comb,"(0.7, 0.3)",5,0.5,1,0.761904761904762,0.7272727272727273,0.8
SSK NGK comb,"(0.7, 0.3)",5,0.5,2,0.7777777777777777,0.875,0.7
SSK NGK comb,"(0.8, 0.2)",5,0.5,0,0.8571428571428572,0.8181818181818182,0.9
SSK NGK comb,"(0.8, 0.2)",5,0.5,1,0.761904761904762,0.7272727272727273,0.8
SSK NGK comb,"(0.8, 0.2)",5,0.5,2,0.7777777777777777,0.875,0.7
SSK NGK comb,"(0.9, 0.1)",5,0.5,0,0.8571428571428572,0.8181818181818182,0.9
SSK NGK comb,"(0.9, 0.1)",5,0.5,1,0.761904761904762,0.7272727272727273,0.8
SSK NGK comb,"(0.9, 0.1)",5,0.5,2,0.7777777777777777,0.875,0.7
SSK NGK comb,"(1, 0)",5,0.5,0,0.9473684210526316,1.0,0.9
SSK NGK comb,"(1, 0)",5,0.5,1,0.9523809523809523,0.9090909090909091,1.0
SSK NGK comb,"(1, 0)",5,0.5,2,1.0,1.0,1.0
SSK NGK comb,"(0, 1)",5,0.5,0,0.7,0.7,0.7
SSK NGK comb,"(0, 1)",5,0.5,1,0.7,0.7,0.7
SSK NGK comb,"(0, 1)",5,0.5,2,0.7,0.7,0.7
SSK NGK comb,"(0.5, 0.5)",5,0.5,0,0.7,0.7,0.7
SSK NGK comb,"(0.5, 0.5)",5,0.5,1,0.7,0.7,0.7
SSK NGK comb,"(0.5, 0.5)",5,0.5,2,0.7,0.7,0.7
SSK NGK comb,"(0.6, 0.4)",5,0.5,0,0.7,0.7,0.7
SSK NGK comb,"(0.6, 0.4)",5,0.5,1,0.7,0.7,0.7
SSK NGK comb,"(0.6, 0.4)",5,0.5,2,0.7,0.7,0.7
SSK NGK comb,"(0.7, 0.3)",5,0.5,0,0.7,0.7,0.7
SSK NGK comb,"(0.7, 0.3)",5,0.5,1,0.7,0.7,0.7
SSK NGK comb,"(0.7, 0.3)",5,0.5,2,0.7,0.7,0.7
SSK NGK comb,"(0.8, 0.2)",5,0.5,0,0.7,0.7,0.7
SSK NGK comb,"(0.8, 0.2)",5,0.5,1,0.7,0.7,0.7
SSK NGK comb,"(0.8, 0.2)",5,0.5,2,0.7,0.7,0.7
SSK NGK comb,"(0.9, 0.1)",5,0.5,0,0.7,0.7,0.7
SSK NGK comb,"(0.9, 0.1)",5,0.5,1,0.761904761904762,0.7272727272727273,0.8
SSK NGK comb,"(0.9, 0.1)",5,0.5,2,0.7368421052631577,0.7777777777777778,0.7
